gene	MII_oocyte	zygote	early_2cell	2cell	4cell	8cell	mESC
Itm2a	0.181706	0.316775	0.276393	0.831932	2.32203	4.21014	6.13321
Sergef	1.66767	1.01228	1.38536	0.130218	0.559493	1.06035	1.11105
Fam109a	0	0	0	16.8973	33.2679	9.19378	0.477141
Dhx9	0.267693	0.624392	0.328072	8.81582	4.77315	11.9406	11.287
Fam71e2	0	0	0	0	0	0	0
Ssu72	129.005	64.6493	88.3619	104.259	127.552	135.695	68.6677
Olfr1018	0	0	0	0	0	0	0
Eif2b2	11.642	8.89913	8.84194	23.8051	61.5991	69.2975	11.8658
Mks1	1.73258	1.59678	1.69043	0.0571367	0.535927	0.360757	1.0587
Hebp2	0	0	0.023082	0	0	0.103433	1.34012
Vps28	3.23276	2.94595	3.94454	9.48174	17.3578	22.507	47.1361
Setd6	9.90954	5.98603	5.68256	2.15388	2.94975	2.28123	16.377
Gstm2	0.0806135	0	0	0	0	0	6.75692
Spn-ps	0.588534	0.31081	0.266088	0	0	0	0
Psma4	31.7696	43.5529	17.6058	123.028	111.104	174.861	243.103
Katnbl1	57.7283	106.372	72.1906	44.6392	28.688	29.6382	15.3798
Pex19	15.6214	30.9941	26.6939	26.0743	59.2131	48.0641	6.9065
Tsnaxip1	0	0	0.0587859	0.307541	1.75652	0.811628	0
Bcl7a	0.294265	0.96261	1.03126	1.15733	7.37403	6.70589	0.741192
Mir5134	0	0	0	0	0	0	0
Dio1	0.31057	0.092893	0.432401	1.01041	1.2734	5.63783	0.0869465
Bnip3l	9.78793	53.8115	56.7471	63.6198	78.3029	108.981	22.7517
Mir7238	0	0	0	0	0	0	0
Capzb	10.291	16.1077	22.6118	2.33867	2.96995	10.913	31.0466
Dnajc21	23.3333	32.3339	14.8728	109.836	55.2692	61.628	40.883
Cachd1	5.20463	1.56579	1.65811	0.886179	0.275647	0.638018	0.0267354
Gm6654	5.18946	0.65025	1.82122	28.8193	49.7569	53.7252	96.1671
Olfr955	0	0	0	0	0	0	0
Snip1	0.299435	0.993381	4.13057	19.673	32.332	17.6545	5.93238
Ptgr1	0.907068	1.11132	1.15921	0.36779	1.74808	15.5311	10.9002
B9d2	0.751389	0.50887	1.02538	1.4393	0.79546	1.18447	2.63328
Vmn1r5	0	0	0	0	0	0	0
Npy	0	0	0	0	0	0	0.367302
Ap5s1	0.752776	1.67031	1.163	10.8609	13.1105	6.84987	3.14003
Phax	19.967	10.657	5.18186	43.8095	71.2573	60.6895	26.7705
Ppia	6.03009	13.6471	28.9945	341.9	706.831	977.96	2530.15
Lnx2	21.5031	16.7953	14.7772	2.84921	1.84928	0.617286	0.469314
Syt2	3.44331	1.70823	0.836911	0.0518899	0.095082	0.167876	0
4932418E24Rik	0	0	0	0	0	0	0
Gm10768	0	0	0.14976	0	0	0	0.138167
Itgb7	0	0	0	1.2011	2.48849	4.95913	1.9046
Rplp2	6.81498	12.1744	33.0268	130.737	295.919	353.41	233.777
Snhg4	0.425137	0.04845	1.46931	10.0092	15.9678	8.29315	31.8356
Strbp	2.67513	3.06628	2.50771	4.40578	1.06454	1.25471	2.43837
4930444G20Rik	0	0	0.150935	0	0	0	0
Dhrs2	5.27395	4.27137	7.08574	1.56395	0.187571	0.0979073	0
Olfr799	0	0	0	0	0	0	0
Gm10220	0.0227853	0.034786	0.161228	0.01978	0	0.00511626	0.0196061
Ankk1	0	0.0180131	0	0	0	0	0
4930465K10Rik	0.564749	0.604445	0.524878	2.54327	1.89503	0.79115	0.23961
B3gnt3	0	0	0.165689	0.0865839	0.344498	1.3407	0.334536
Fam187b	5.65285	17.4792	12.6849	0.964183	0.494124	0.171744	0.499893
Ttll11	17.3708	20.6975	15.8184	2.38978	0.270052	0.0238283	0
4930467E23Rik	0.000248148	0.0749683	0	0.000177128	0	0	0.0977271
Olfr1221	0	0	0	0	0	0	0
Mir127	0	0	0	0	0	0	0
Psmg2	0.0793527	0.215638	1.86423	7.92837	42.3538	66.8552	55.3746
Zdhhc23	0	0	0.0369221	0.151883	1.35361	0.0649769	0
Mir7036b	0	0	0	0	0	0	0
Mir5108	0	0	0	0	0	0	0
Adrb1	0	0	0	0.0180053	0	0	0
Mettl22	4.0539	0.657882	2.32281	0.993426	1.53734	1.4172	1.71486
Ifi30	1.41128	1.30951	4.46658	4.73716	3.78894	10.6847	34.3101
Hprt	208.534	173.321	148.918	451.251	575.413	1448.3	139.431
Lrrn4cl	0.132859	0.112835	0.233707	0.878727	0.235945	0.0646379	0.276107
Gkn1	0	0	0	0	0	0	0
Gm4736	0	0	0	0	0	0	0
Fabp9	0	0	1.1058	3.23682	1.23184	0.831981	0
Snora31	0	0	0	0	0	37.1454	415.776
