2-cell	4-cell	8-cell	early_2-cell	ICM	mESC_rep1_merge	mESC_rep1	mESC_rep2	mESC_rep2_merge	MII_oocyte	zygote
0610006L08Rik	0	0	0	0	0	0	0	0	0	0	0.0633765
0610007P14Rik	18.308225	20.6974125	37.0633535	175.00492	57.0499386666667	45.084973	47.0761945	43.1682465	42.480799	158.28863	181.4006625
0610009B22Rik	13.10068	16.01025	11.560445	88.60675	61.1350886666667	72.434	70.2177	123.438	125.945	9.2679235	199.4785385
0610009E02Rik	0.238007	0.2369523	0.593841	0	0.126084666666667	0	0	0	0	0.6043555	0.1860165
0610009L18Rik	0.0825915	0.2500895	0	3.66784	0.293152333333333	0	0	0	0	2.71886	1.821875
0610009O20Rik	0.16234135	1.45953	1.647765	2.872565	7.62855333333333	11.6787	12.0336	13.15725	13.4645	1.599625	3.275795
0610010F05Rik	1.84256388018655	0.71468401331	0.50960089	3.5697885	1.345013985	1.98811441	2.02888716	0.7713325	0.980069	3.3871793	5.25496958813
0610010K14Rik	44.7368780007805	74.1775477	77.220340325	67.988446	86.6253535081333	294.544958	297.08345	138.51322243005	134.41597	19.6871125	44.5892505
0610011F06Rik	6.9681	17.275968	19.30549	2.7799426	37.0621766666667	32.69412	33.5046910340335	27.417095	26.86934	0.6503015	1.883191
0610012D04Rik	0	0	0	0	0	0	0	0	0	0	0
0610012G03Rik	27.5199	39.38665	17.157515	11.247	7.32393333333333	1.2341	1.1397365	0	0	7.56182	5.184795
0610025J13Rik	0	0	0	0	0.131122357623333	0	0	0	0	0	0
0610030E20Rik	10.4472745	12.19468	13.876949	2.190929	5.08323033333333	9.390443	9.8697135	1.839313	1.71328	6.88960115	4.5929705
0610031O16Rik	0.26230395	0.35662	0.2812211	0.3591295	1.14902933333333	0	0	0.2823405	0.209641	0	0.511455
0610033M10Rik	2.815946	0.9217285	1.5237095	70.494795	0.273117333333333	0.191737	0.24057	0	0	196.7476	81.04578
0610037L13Rik	22.1884567415185	54.48428356	71.76848751	14.318432775	80.3950603666667	55.1412609	54.0473605	48.0386995	49.235241	9.0224386	32.33157965
0610038B21Rik	0.43927	0.392843	0.3255715	0.04707795	0.099246	0	0	0	0	0.345544	0.5172225
0610039K10Rik	0.5483844	0.57440075	0.6321495	0.05236765	0.8370677	0.2424289	0.313334	0	0	0	0.15436755
0610040B10Rik	2.050533	3.1322475	1.2616635	0.19547495	6.083139	0.221085	0.0976195	3.34045	3.08674	0.0531655	1.61746475
0610040F04Rik	15.036232	1.3744574	0.284354	59.829285	1.52495333333333	0	0	1.11086	0.83692	21.025461	58.623665
0610040J01Rik	12.457417	6.807055	2.6886865	37.821288	0.230961966666667	1.95669	2.0527165271541	0	0	20.2419315	25.310995
0610043K17Rik	0.083554	0	0.3962275	0.0855945	2.63777066666667	0	0	0	0	0	0
1010001B22Rik	0.7656225	1.774416	0.54609	1.65791	0.312162	0	0	1.721305	2.18712	0	0.91863
